epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,162.344,2.32012,2.54396,0.00374,0.55025,0.2986,0.32415,0.1451,2.49354,3.06917,0.00571,0.0003328,0.0003328,0.0670528
2,314.084,2.11513,1.93988,0.00327,0.70223,0.34689,0.38706,0.17857,2.33627,2.90373,0.00485,0.000665681,0.000665681,0.0340523
3,468.843,2.05174,1.71778,0.00316,0.65933,0.33898,0.37893,0.16861,2.28725,2.73921,0.00486,0.000996756,0.000996756,0.00105009
4,629.47,2.00247,1.62515,0.00305,0.70449,0.37401,0.40956,0.19666,2.32504,2.644,0.00487,0.000993906,0.000993906,0.000993906
5,783.307,1.94749,1.53806,0.00295,0.58026,0.36709,0.36616,0.1736,2.24602,2.67257,0.00466,0.000989183,0.000989183,0.000989183
6,940.606,1.93584,1.4507,0.00292,0.68006,0.3887,0.40312,0.18954,2.26475,2.54471,0.00483,0.000983133,0.000983133,0.000983133
7,1092.87,1.91054,1.4073,0.00289,0.62873,0.34576,0.36313,0.1672,2.49679,2.77978,0.00517,0.000975773,0.000975773,0.000975773
8,1248.41,1.86588,1.31728,0.00282,0.6898,0.4347,0.46972,0.20751,2.30456,2.29038,0.00478,0.000967122,0.000967122,0.000967122
9,1388.02,1.85972,1.33258,0.00276,0.75048,0.44861,0.49129,0.23873,2.21511,2.3739,0.00454,0.000957205,0.000957205,0.000957205
10,1527.1,1.84956,1.27704,0.00273,0.66717,0.46207,0.47719,0.22164,2.3152,2.35598,0.00482,0.000946048,0.000946048,0.000946048
11,1661.84,1.84527,1.24833,0.00274,0.73381,0.42363,0.47694,0.20908,2.36381,2.28401,0.00515,0.000933683,0.000933683,0.000933683
12,1797.76,1.83148,1.20304,0.00269,0.73469,0.42712,0.48402,0.2132,2.3754,2.38886,0.0048,0.000920142,0.000920142,0.000920142
13,1927.05,1.82811,1.18719,0.00273,0.72594,0.48023,0.53653,0.24085,2.26881,2.15338,0.00463,0.000905463,0.000905463,0.000905463
14,2057.06,1.79067,1.12903,0.00265,0.81878,0.4113,0.51221,0.23492,2.30389,2.25017,0.00463,0.000889687,0.000889687,0.000889687
15,2184.88,1.78136,1.13162,0.0026,0.7747,0.44181,0.50406,0.23639,2.21819,2.16449,0.00436,0.000872857,0.000872857,0.000872857
16,2316.93,1.78167,1.10238,0.00258,0.78025,0.48946,0.56344,0.25832,2.27657,2.17034,0.00466,0.000855018,0.000855018,0.000855018
17,2461.23,1.75717,1.08271,0.00257,0.80491,0.50348,0.58979,0.27335,2.23783,2.07876,0.00457,0.00083622,0.00083622,0.00083622
18,2607.51,1.75407,1.06231,0.00257,0.79356,0.45763,0.53843,0.25783,2.27325,2.19615,0.00473,0.000816514,0.000816514,0.000816514
19,2761.64,1.75892,1.04056,0.0026,0.83399,0.4565,0.52358,0.23892,2.29244,2.28593,0.0047,0.000795954,0.000795954,0.000795954
20,2916.2,1.73643,1.04795,0.0025,0.87372,0.45343,0.52385,0.25079,2.24652,2.22017,0.00461,0.000774596,0.000774596,0.000774596
21,3057.79,1.70566,1.01691,0.0025,0.74841,0.47119,0.50834,0.21693,2.26614,2.18907,0.00463,0.0007525,0.0007525,0.0007525
22,3200.31,1.73262,1.0173,0.00253,0.77861,0.42599,0.47851,0.22405,2.24068,2.19337,0.00471,0.000729725,0.000729725,0.000729725
23,3328.29,1.69533,0.95947,0.00243,0.82677,0.46918,0.56091,0.27187,2.24766,1.99097,0.00459,0.000706335,0.000706335,0.000706335
24,3457.66,1.68189,0.94576,0.00241,0.7815,0.48093,0.53185,0.26504,2.19931,2.16112,0.00449,0.000682392,0.000682392,0.000682392
25,3586.9,1.67782,0.94564,0.00238,0.79598,0.47232,0.52193,0.27002,2.23433,2.16036,0.00448,0.000657963,0.000657963,0.000657963
26,3730.95,1.6405,0.9301,0.00236,0.81897,0.43164,0.48894,0.24658,2.1771,2.36034,0.00438,0.000633115,0.000633115,0.000633115
27,3870.08,1.64988,0.91276,0.00235,0.79882,0.48008,0.54731,0.26691,2.22182,2.16551,0.00452,0.000607916,0.000607916,0.000607916
28,4009.63,1.64339,0.89479,0.00234,0.83702,0.45311,0.51458,0.24025,2.22538,2.3101,0.0045,0.000582435,0.000582435,0.000582435
29,4152.3,1.6358,0.90531,0.00233,0.8682,0.48588,0.55403,0.26489,2.25837,2.11737,0.00456,0.000556742,0.000556742,0.000556742
30,4293.19,1.62441,0.85728,0.00234,0.83358,0.48588,0.55504,0.26429,2.21458,2.10941,0.00457,0.000530906,0.000530906,0.000530906
31,4434.88,1.61599,0.88959,0.00226,0.88537,0.46253,0.54055,0.26943,2.17399,2.15762,0.0044,0.000505,0.000505,0.000505
32,4574.8,1.60846,0.83598,0.00227,0.76953,0.51412,0.56727,0.28073,2.22865,1.97335,0.00466,0.000479094,0.000479094,0.000479094
33,4731.99,1.59264,0.84023,0.00227,0.85051,0.4904,0.53474,0.28109,2.1734,2.17196,0.00451,0.000453258,0.000453258,0.000453258
34,4861.63,1.59235,0.8406,0.00224,0.83742,0.49266,0.53204,0.27863,2.1968,2.19539,0.00446,0.000427565,0.000427565,0.000427565
35,5017.28,1.56272,0.81156,0.0022,0.84168,0.52881,0.59208,0.29076,2.23489,1.93957,0.0045,0.000402084,0.000402084,0.000402084
36,5167.94,1.54129,0.79825,0.00216,0.85194,0.4904,0.54037,0.27735,2.21132,2.21996,0.00445,0.000376885,0.000376885,0.000376885
37,5327.31,1.52026,0.77715,0.0021,0.87325,0.47487,0.54508,0.28588,2.20714,2.15905,0.00448,0.000352037,0.000352037,0.000352037
38,5469.45,1.51555,0.75278,0.00212,0.82877,0.48362,0.55368,0.28669,2.20624,2.13066,0.00443,0.000327608,0.000327608,0.000327608
39,5612.3,1.51081,0.7495,0.00209,0.84407,0.4904,0.56837,0.28681,2.21517,2.04428,0.00444,0.000303665,0.000303665,0.000303665
40,5752.21,1.50871,0.7451,0.00212,0.85893,0.49153,0.57444,0.2959,2.18914,2.02692,0.00441,0.000280275,0.000280275,0.000280275
41,5894.92,1.51808,0.7636,0.00212,0.82163,0.52049,0.57599,0.30189,2.17071,2.01049,0.00436,0.0002575,0.0002575,0.0002575
42,6026.49,1.47755,0.72752,0.00207,0.83504,0.4904,0.57044,0.2869,2.20731,1.98841,0.00442,0.000235404,0.000235404,0.000235404
43,6154.41,1.51166,0.74209,0.0021,0.79535,0.505,0.56627,0.28495,2.23264,2.01137,0.0045,0.000214046,0.000214046,0.000214046
44,6304.5,1.48509,0.72026,0.00205,0.80188,0.5305,0.58399,0.29018,2.19892,2.01291,0.00447,0.000193486,0.000193486,0.000193486
45,6456.78,1.47007,0.70622,0.00203,0.72923,0.52316,0.56975,0.29491,2.19268,2.00963,0.00442,0.00017378,0.00017378,0.00017378
46,6596.12,1.47066,0.70789,0.00202,0.81106,0.50932,0.56381,0.28927,2.17816,2.05126,0.00442,0.000154982,0.000154982,0.000154982
47,6736.18,1.47312,0.70679,0.00205,0.8445,0.49379,0.56472,0.29264,2.19967,2.0283,0.00453,0.000137143,0.000137143,0.000137143
